"id","name","area","status","address","tel"
"2Y01190021","鑽石牙體技術所","臺北市萬華區","開業","臺北市萬華區和平西路三段294號2樓","02-23083278"
"2Y03100098","呈宇牙體技術所","臺中市大雅區","開業","臺中市大雅區中山北路370巷20號4樓","0988181416"
"2Y07380038","美達牙體技術所","高雄市小港區","開業","高雄市小港區漢民路158巷1弄7號1樓","8031673"
"2Y03090079","鼎級牙體技術所","臺中市潭子區","開業","臺中市潭子區大新路23巷13號1樓","04-25346333"
"2Y03230055","禾安牙體技術所","臺中市東區","開業","臺中市東區自由路3段3號7樓","0937-283232"
"2Y07320023","宸暘齒研牙體技術所","高雄市三民區","開業","高雄市三民區大豐二路118巷1號3樓","07-3829001"
"2Y01170029","弘元牙體技術所","臺北市信義區","開業","臺北市信義區虎林街48之1號5樓","27687810"
"2Y31040016","尚巧牙體技術所","新北市中和區","開業","新北市中和區中山路二段３１７-１號２樓","0222426028"
"2Y01150107","嘉特牙體技術所","臺北市士林區","開業","臺北市士林區中正路120之3號2樓","02-28322306"
"2Y32010432","湯瑪仕牙體技術所","桃園市桃園區","開業","桃園市桃園區復興路49之1號9樓之1","0985490108"
"2Y07010040","弘揚牙體技術所","高雄市鳳山區","開業","高雄市鳳山區新樂街289號6樓","07-7662216"
"2Y38030027","韋華牙體技術所","南投縣草屯鎮","開業","南投縣草屯鎮仁愛街213巷24號1F","049-2301108"
"2Y05320034","燦鋒牙體技術所","臺南市東區","開業","臺南市東區裕永一街102號1樓","06-2752490"
"2Y07360018","宏宇牙體技術所","高雄市前鎮區","開業","高雄市前鎮區桂林街46巷8號3樓","07-2353236"
"2Y31060036","悠偉牙體技術所","新北市新莊區","開業","新北市新莊區銘德街114巷4號1樓","29976834"
"2Y12040014","長昇牙體技術所","新竹市北區","開業","新竹市北區金雅里武陵路245巷23號2樓","03-5348990"
"2Y01170029","弘元牙體技術所","臺北市信義區","開業","臺北市信義區虎林街48之1號5樓","27687810"
"2Y38010034","上洋牙體技術所","南投縣南投市","開業","南投縣南投市永興路一街15-11號","049-2257149"
"2Y07290039","柏威牙體技術所","高雄市鼓山區","開業","高雄市鼓山區明華路253號9樓","5526333"
